t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,0,12.4,11.3,296.8,22.9,0.18,2.2,12.4,,12.4,0.0,0.0,0.0
2,,0,16.0,12.6,325.9,30.1,0.20,3.3,16.0,,16.0,0.0,0.0,0.0
3,,1,20.7,13.9,351.8,43.1,0.20,3.9,20.7,,19.7,0.0,0.0,0.0
4,,1,25.3,15.2,372.6,54.5,0.20,4.8,25.2,,24.2,0.0,0.1,0.0
5,,1,30.2,16.6,389.1,67.1,0.20,5.7,30.1,,29.1,0.0,0.1,0.1
6,,1,35.2,17.9,398.8,80.8,0.20,6.7,34.9,,33.9,0.0,0.2,0.1
7,,1,40.1,19.3,404.2,95.2,0.20,,39.8,,38.8,0.0,0.4,0.2
,,,,,,,,,,,,,,
Without redistribution,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,0,12.4,11.3,296.8,22.9,0.2,2.2,12.4,,12.4,0.0,0.0,0.0
2,,0,16.0,12.6,325.9,30.1,0.2,3.3,16.0,,16.0,0.0,0.0,0.0
3,,0,20.7,13.9,351.8,43.1,0.2,4.1,20.7,,20.7,0.0,0.0,0.0
4,,0,25.6,15.2,372.6,56.5,0.2,5.1,25.5,,25.5,0.0,0.1,0.0
5,,0,30.7,16.6,389.1,70.4,0.2,6.0,30.5,,30.5,0.0,0.1,0.1
6,,0,35.7,17.9,398.8,84.7,0.2,7.0,35.4,,35.4,0.0,0.2,0.1
7,,0,40.6,19.3,404.2,99.5,0.2,,40.3,,40.3,0.0,0.4,0.2
,,,,,,,,,,,,,,
Difference,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
3,,,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,,-1.0,0.0,0.0,0.0
4,,,-0.3,0.0,0.0,-2.0,0.0,-0.3,-0.3,,-1.28,0.0,0.0,0.0
5,,,-0.4,0.0,0.0,-3.2,0.0,-0.282,-0.4,,-1.4,0.0,0.0,0.0
6,,,-0.5,0.0,0.0,-3.9,0.0,-0.3,-0.5,,-1.5,0.0,0.0,0.0
7,,,-0.5,0.0,0.0,-4.4,0.0,0.0,-0.5,,-1.5,0.0,0.0,0.0
,,,,,,,,,,,,,,
%change,,,,,,,,,,,,,,
t,,REDIST,Ygross,TFP,labour,Kapital,savings rate,Investment,Ynet,,Y,Abatecost,DamagesOLD,Damages
1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,#DIV/0!,0.0,0.0
2,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,#DIV/0!,0.0,0.0
3,,0,0.0,0.0,0.0,0.0,0.0,-4.8,0.0,,-4.8,#DIV/0!,0.0,0.0
4,,0,-1.1,0.0,0.0,-3.6,0.0,-5.0,-1.1,,-5.0,#DIV/0!,0.0,0.0
5,,0,-1.4,0.0,0.0,-4.6,0.0,-4.7,-1.4,,-4.7,#DIV/0!,0.0,0.0
6,,0,-1.4,0.0,0.0,-4.7,0.0,-4.3,-1.4,,-4.3,#DIV/0!,0.0,0.0
7,,0,-1.3,0.0,0.0,-4.4,0.0,#DIV/0!,-1.3,,-3.8,#DIV/0!,0.0,0.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,capital elasticity,,0.3,,,,,,,,,,
,,dk,,0.1,,,,,,,,,,
